original,clean,latin,frequency
pročita,pročita,4
predlaže,predlaže,4
došao,došao,4
nose,nose,4
dolaze,dolaze,4
bile,bile,4
ući,ući,4
диже,diže,4
dao,dao,4
vide,vide,4
širi,širi,4
gubi,gubi,4
rade,rade,4
пролазе,prolaze,4
чују,čuju,4
izbija,izbija,4
игра,igra,4
pamti,pamti,4
idu,idu,4
потрза,potrza,4
дође,dođe,4
моли,moli,4
говоре,govore,4
начинио,načinio,4
претвара,pretvara,4
чини,čini,4
Setio,Setio,4
išla,išla,4
друже,druže,4
почну,počnu,4
имати,imati,4
почињемо,počinjemo,4
запалити,zapaliti,4
krije,krije,3
Стигла,Stigla,3
pobijali,pobijali,3
kolje,kolje,3
zatezali,zatezali,3
sakupljala,sakupljala,3
брисао,brisao,3
увртао,uvrtao,3
преплашено,preplašeno,3
ћутећи,ćuteći,3
стајали,stajali,3
Запиши,Zapiši,2
кажем,kažem,2
рањен,ranjen,2
зацељивао,zaceljivao,2
прекаљен,prekaljen,2
разбацао,razbacao,2
губећи,gubeći,2
зарђало,zarđalo,2
носило,nosilo,2
чувајући,čuvajući,2
Говорио,Govorio,2
рађале,rađale,2
погрешио,pogrešio,2
пијуцкао,pijuckao,2
претерује,preteruje,2
врзма,vrzma,2
возити,voziti,2
среће,sreće,2
сте,ste,2
ћутао,ćutao,2
давала,davala,2
давале,davale,2
напуштала,napuštala,2
бројала,brojala,2
делила,delila,2
предала,predala,2
престала,prestala,2
испуњена,ispunjena,2
расла,rasla,2
спустила,spustila,2
удахнула,udahnula,2
расула,rasula,2
расејава,rasejava,2
променила,promenila,2
разликовати,razlikovati,2
догодило,dogodilo,2
приснило,prisnilo,2
сежу,sežu,2
опстаје,opstaje,2
расло,raslo,2
осветљено,osvetljeno,2
лежао,ležao,2
дрхтала,drhtala,2
постајало,postajalo,2
живело,živelo,2
храњено,hranjeno,2
дува,duva,2
замишља,zamišlja,2
желе,žele,2
припада,pripada,2
претварао,pretvarao,2
погодио,pogodio,2
наредила,naredila,2
оде,ode,2
тражио,tražio,2
једе,jede,2
увредио,uvredio,2
наљутио,naljutio,2
доћи,doći,2
помрете,pomrete,2
останем,ostanem,2
уморила,umorila,2
рекла,rekla,2
ћеш,ćeš,2
увредити,uvrediti,2
плакатн,plakatn,2
одлазила,odlazila,2
отишао,otišao,2
вратио,vratio,2
очекивала,očekivala,2
остао,ostao,2
Одлазећи,Odlazeći,2
наређивала,naređivala,2
запали,zapali,2
прикупи,prikupi,2
носиле,nosile,2
улази,ulazi,2
туче,tuče,2
руча,ruča,2
нахранити,nahraniti,2
Немој,Nemoj,2
распекмезити,raspekmeziti,2
говорила,govorila,2
дођи,dođi,2
бојим,bojim,2
бојиш,bojiš,2
Досадио,Dosadio,2
пробуди,probudi,2
поједе,pojede,2
придрема,pridrema,2
спавај,spavaj,2
наспавао,naspavao,2
Нећу,Neću,2
одговорио,odgovorio,2
Лежаћу,Ležaću,2
гледати,gledati,2
затвараш,zatvaraš,2
разговараш,razgovaraš,2
фали,fali,2
склапају,sklapaju,2
спаваш,spavaš,2
Радио,Radio,2
ослабио,oslabio,2
Доносио,Donosio,2
раздувавао,razduvavao,2
држао,držao,2
ковао,kovao,2
уводио,uvodio,2
поткивао,potkivao,2
ваљало,valjalo,2
радити,raditi,2
називали,nazivali,2
расле,rasle,2
седе,sede,2
становао,stanovao,2
одлазио,odlazio,2
враћао,vraćao,2
хранио,hranio,2
куповао,kupovao,2
носио,nosio,2
ходао,hodao,2
провидело,providelo,2
облачио,oblačio,2
остала,ostala,2
обувао,obuvao,2
крпио,krpio,2
носећи,noseći,2
кретао,kretao,2
устајали,ustajali,2
говорили,govorili,2
кренуо,krenuo,2
устајати,ustajati,2
будили,budili,2
изнајмио,iznajmio,2
Узео,Uzeo,2
сместио,smestio,2
узео,uzeo,2
Прошло,Prošlo,2
водила,vodila,2
долазили,dolazili,2
облачили,oblačili,2
стављали,stavljali,2
шетале,šetale,2
играла,igrala,2
задрхтао,zadrhtao,2
позвао,pozvao,2
узнемирио,uznemirio,2
почело,počelo,2
прекинуо,prekinuo,2
Донео,Doneo,2
одвијала,odvijala,2
набавио,nabavio,2
догурао,dogurao,2
спремљене,spremljene,2
бисте,biste,2
купили,kupili,2
послужујући,poslužujući,2
Могу,Mogu,2
покажем,pokažem,2
Донеси,Donesi,2
немам,nemam,2
допала,dopala,2
служила,služila,2
похрањиване,pohranjivane,2
рече,reče,2
отишла,otišla,2
свршило,svršilo,2
Udari,Udari,2
cveta,cveta,2
snila,snila,2
sleću,sleću,2
izbičevaše,izbičevaše,2
počivao,počivao,2
vladala,vladala,2
završavati,završavati,2
upletene,upletene,2
smejali,smejali,2
beležile,beležile,2
Starili,Starili,2
Znali,Znali,2
zvali,zvali,2
Treba,Treba,2
potroši,potroši,2
mislili,mislili,2
РАЗГОВАРАЈТЕ,RAZGOVARAJTE,2
држаше,držaše,2
украшаваху,ukrašavahu,2
скраћено,skraćeno,2
почеле,počele,2
похиташе,pohitaše,2
требало,trebalo,2
истаћи,istaći,2
показати,pokazati,2
грешио,grešio,2
причао,pričao,2
прошла,prošla,2
догодити,dogoditi,2
Разуме,Razume,2
откријмо,otkrijmo,2
желео,želeo,2
открије,otkrije,2
звала,zvala,2
описао,opisao,2
uverava,uverava,2
pruže,pruže,2
trajalo,trajalo,2
Sešće,Sešće,2
piše,piše,2
uzeti,uzeti,2
naterati,naterati,2
izgledati,izgledati,2
obrađen,obrađen,2
zbio,zbio,2
naziva,naziva,2
gonjen,gonjen,2
naseljavao,naseljavao,2
objavljen,objavljen,2
davao,davao,2
publikovao,publikovao,2
Zna,Zna,2
dognali,dognali,2
pomisliti,pomisliti,2
obrijali,obrijali,2
ošišali,ošišali,2
osvežili,osvežili,2
umrli,umrli,2
rađali,rađali,2
brijali,brijali,2
umirali,umirali,2
tekao,tekao,2
zamisliti,zamisliti,2
svetlucalo,svetlucalo,2
pozaljubljivana,pozaljubljivana,2
ometalo,ometalo,2
mučila,mučila,2
susretao,susretao,2
ukrašene,ukrašene,2
pružila,pružila,2
popio,popio,2
izlazio,izlazio,2
nosila,nosila,2
odsijavali,odsijavali,2
čamili,čamili,2
NEMA,NEMA,2
javi,javi,2
zalutao,zalutao,2
otvoren,otvoren,2
dižući,dižući,2
nasmeših,nasmeših,2
dadoh,dadoh,2
uspela,uspela,2
čekam,čekam,2
nagoveštava,nagoveštava,2
čujem,čujem,2
mine,mine,2
okrećem,okrećem,2
dižem,dižem,2
uživam,uživam,2
uđe,uđe,2
ugledaju,ugledaju,2
videle,videle,2
očekujem,očekujem,2
utonem,utonem,2
daje,daje,2
служи,služi,2
pomuči,pomuči,2
oženio,oženio,2
њише,njiše,2
осипа,osipa,2
замутио,zamutio,2
сузио,suzio,2
упио,upio,2
зуји,zuji,2
подилази,podilazi,2
виче,viče,2
плови,plovi,2
сједи,sjedi,2
побијелио,pobijelio,2
назире,nazire,2
топи,topi,2
гледа,gleda,2
очекује,očekuje,2
макне,makne,2
покрене,pokrene,2
остане,ostane,2
уморе,umore,2
затвара,zatvara,2
окреће,okreće,2
потсјећа,potsjeća,2
бори,bori,2
оживи,oživi,2
окрене,okrene,2
прене,prene,2
zameo,zameo,2
oduzeo,oduzeo,2
iščezlo,iščezlo,2
vire,vire,2
proprćena,proprćena,2
meša,meša,2
vlada,vlada,2
druguje,druguje,2
zaustavili,zaustavili,2
remeti,remeti,2
sastavljaju,sastavljaju,2
ostale,ostale,2
gunđa,gunđa,2
sabirao,sabirao,2
trošeći,trošeći,2
čuvao,čuvao,2
grdi,grdi,2
naloži,naloži,2
догађа,događa,2
преграђена,pregrađena,2
види.,vidi.,2
зашло,zašlo,2
враћају,vraćaju,2
носите,nosite,2
Размишља,Razmišlja,2
схватам,shvatam,2
калио,kalio,2
долазио,dolazio,2
одговара,odgovara,2
устане,ustane,2
Подбуо,Podbuo,2
претећи,preteći,2
погледа,pogleda,2
продирале,prodirale,2
подигоше,podigoše,2
посматрала,posmatrala,2
седите,sedite,2
махну,mahnu,2
седоше,sedoše,2
Очице,Očice,2
усретсредише,usretsrediše,2
дођите,dođite,2
одгурну,odgurnu,2
приђе,priđe,2
пуши,puši,2
одмилео,odmileo,2
обасјао,obasjao,2
покрио,pokrio,2
остављајући,ostavljajući,2
наднела,nadnela,2
забележио,zabeležio,2
покушавам,pokušavam,2
забележим,zabeležim,2
прошло,prošlo,2
нисам,nisam,2
записала,zapisala,2
Морам,Moram,2
помирити,pomiriti,2
нађем,nađem,2
veli,veli,2
liče,liče,2
leti,leti,2
obnevidela,obnevidela,2
gaziti,gaziti,2
ulovi,ulovi,2
preseca,preseca,2
liči,liči,2
Možete,Možete,2
čujete,čujete,2
desiti,desiti,2
zanoćite,zanoćite,2
ispričaju,ispričaju,2
kazuju,kazuju,2
protiče,protiče,2
proširuju,proširuju,2
nastaje,nastaje,2
pravi,pravi,2
ublizu,ublizu,2
izgledaju,izgledaju,2
zatvoren,zatvoren,2
izvire,izvire,2
razmiču,razmiču,2
stoji,stoji,2
posmatrano,posmatrano,2
teče,teče,2
razliva,razliva,2
počinjući,počinjući,2
nalazi,nalazi,2
тврдити,tvrditi,2
узевши,uzevši,2
цени,ceni,2
ценимо,cenimo,2
боли,boli,2
замишљамо,zamišljamo,2
бисмо,bismo,2
трпели,trpeli,2
сматрамо,smatramo,2
увеличава,uveličava,2
постаје,postaje,2
ужасавали,užasavali,2
снаћи,snaći,2
серазликују,serazlikuju,2
замишљали,zamišljali,2
умире,umire,2
љуља,ljulja,2
руши,ruši,2
успоставља,uspostavlja,2
нреслагати,nreslagati,2
постојати,postojati,2
sećaju,sećaju,2
izgovara,izgovara,2
zaboravljena,zaboravljena,2
uklopljene,uklopljene,2
posedeti,posedeti,2
ustaje,ustaje,2
izlizane,izlizane,2
iskrivljene,iskrivljene,2
srasle,srasle,2
postale,postale,2
jest,jest,2
sastaju,sastaju,2
prepušteni,prepušteni,2
usudio,usudio,2
sedne,sedne,2
pije,pije,2
zvalo,zvalo,2
pretreseno,pretreseno,2
zaključeno,zaključeno,2
rešeno,rešeno,2
javlja,javlja,2
donosi,donosi,2
јесте,jeste,2
Отпадају,Otpadaju,2
условљава,uslovljava,2
рећи,reći,2
очекивати,očekivati,2
прима,prima,2
страда,strada,2
дејствује,dejstvuje,2
остаје,ostaje,2
Пробија,Probija,2
Каже,Kaže,2
притисне,pritisne,2
слуша,sluša,2
залутати,zalutati,2
страдати,stradati,2
споменуто,spomenuto,2
сети,seti,2
прелази,prelazi,2
додамо,dodamo,2
Дође,Dođe,2
замолимо,zamolimo,2
сачува,sačuva,2
молимо,molimo,2
мимоиђе,mimoiđe,2
молити,moliti,2
воведи,vovedi,2
избави,izbavi,2
смета,smeta,2
додирне,dodirne,2
убраја,ubraja,2
нађено,nađeno,2
класификовано,klasifikovano,2
имају,imaju,2
усуђује,usuđuje,2
споменути,spomenuti,2
рецимо,recimo,2
брани,brani,2
опстати,opstati,2
оправдати,opravdati,2
осећа,oseća,2
Боји,Boji,2
похваста,pohvasta,2
боји,boji,2
изживео,izživeo,2
изопачио,izopačio,2
истоветовао,istovetovao,2
дата,data,2
чува,čuva,2
проћи,proći,2
изишло,izišlo,2
дато,dato,2
остало,ostalo,2
храни,hrani,2
posrnu,posrnu,2
pade,pade,2
trajala,trajala,2
dalo,dalo,2
iziđe,iziđe,2
nastavi,nastavi,2
ostade,ostade,2
stišano,stišano,2
odražava,odražava,2
Živeći,Živeći,2
zatočen,zatočen,2
setio,setio,2
odvode,odvode,2
Umrli,Umrli,2
opervaze,opervaze,2
podignu,podignu,2
odveli,odveli,2
Ода,Oda,2
зјапиле,zjapile,2
кострешиле,kostrešile,2
осушена,osušena,2
протезао,protezao,2
повуче,povuče,2
видели,videli,2
олињали,olinjali,2
зверала,zverala,2
знајући,znajući,2
забаве,zabave,2
завршило,završilo,2
кликћу,klikću,2
клизе,klize,2
мирише,miriše,2
вичу,viču,2
лези,lezi,2
смеши,smeši,2
кажете,kažete,2
došla,došla,2
podigli,podigli,2
prođoše,prođoše,2
svira,svira,2
Maknuše,Maknuše,2
provirivale,provirivale,2
počeše,počeše,2
kupe,kupe,2
gađaju,gađaju,2
pogodilo,pogodilo,2
izlazile,izlazile,2
tuku,tuku,2
maše,maše,2
postade,postade,2
gada,gada,2
sakupilo,sakupilo,2
nabujali,nabujali,2
odneli,odneli,2
podrovali,podrovali,2
gradili,gradili,2
opravljali,opravljali,2
putovali,putovali,2
zaustavljali,zaustavljali,2
dogradi,dogradi,2
oprave,oprave,2
škripali,škripali,2
odjekivali,odjekivali,2
zaudarao,zaudarao,2
klali,klali,2
sušile,sušile,2
razapete,razapete,2
zapela,zapela,2
putovao,putovao,2
išli,išli,2
Отворили,Otvorili,2
Проносили,Pronosili,2
доносе,donose,2
пролази,prolazi,2
дошло,došlo,2
љубим,ljubim,2
хоће,hoće,2
уче,uče,2
стиде,stide,2
дозивају,dozivaju,2
пружају,pružaju,2
воли,voli,2
удубила,udubila,2
еамо,eamo,2
хоћете,hoćete,2
губе,gube,2
излазе,izlaze,2
дижу,dižu,2
побеђују,pobeđuju,2
чујемо,čujemo,2
зове,zove,2
држи,drži,2
почиљемо,počiljemo,2
веровати,verovati,2
улазимо,ulazimo,2
постајемо,postajemo,2
разбуктати,razbuktati,2
одупиру,odupiru,2
морају,moraju,2
умрети,umreti,2
умиру,umiru,2
убијају,ubijaju,2
можемо,možemo,2
морамо,moramo,2
егзалтирају,egzaltiraju,2
оправдана,opravdana,2
постали,postali,2
утучено,utučeno,2
поткрадају,potkradaju,2
обилази,obilazi,2
трошен,trošen,2
преливен,preliven,2
згрчен,zgrčen,2
почишћен,počišćen,2
котрља,kotrlja,2
прошао,prošao,2
оборио,oborio,2
закопао,zakopao,2
увенуо,uvenuo,2
разапели,razapeli,2
отпадају,otpadaju,2
забодена,zabodena,2
накострешила,nakostrešila,2
стегла,stegla,2
пада,pada,2
откуцава,otkucava,2
Дошло,Došlo,2
донело,donelo,2
ућутка,ućutka,2
прикривају,prikrivaju,2
смеју,smeju,2
жури,žuri,2
спавају,spavaju,2
одмарају,odmaraju,2
занемарују,zanemaruju,2
воле,vole,2
играју,igraju,2
пробија,probija,2
јежи,ježi,2
почиње,počinje,2
скраћене,skraćene,2
прекинуте,prekinute,2
умртвљених,umrtvljenih,2
обамирати,obamirati,2
прсну,prsnu,2
збија,zbija,2
јављају,javljaju,2
остану,ostanu,2
раздувати,razduvati,2
отровати,otrovati,2
завршити,završiti,2
закликтати,zakliktati,2
падају,padaju,2
ишле,išle,2
изгубити,izgubiti,2
презврјати,prezvrjati,2
несмисао,nesmisao,2
Чувај,Čuvaj,1
pouči,pouči,1
кажеш,kažeš,1
poumirali,poumirali,1
помрли,pomrli,1
