verb_latin,frequency
"oitemirP ;""mas"";""Primetio"";""sam"";"" — "";""krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:1"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
"ičajork — mas oitemirP ;""kevuus"";""Primetio sam — krojači"";""suuvek"";"" "";""dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:3"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
"orbod kevuus ičajork — mas oitemirP ;""inežolopsar"";""Primetio sam — krojači suuvek dobro"";""raspoloženi"";""… "";"""";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:5"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
"…;""hodatsO"";""…"";""Ostadoh"";"" "";""ja bez posla."";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:3:0"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
";""oitemirP"";"""";""Primetio"";"" "";""sam — krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:0"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
"oitemirP ;""mas"";""Primetio"";""sam"";"" — "";""krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:1"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
"ičajork — mas oitemirP ;""kevuus"";""Primetio sam — krojači"";""suuvek"";"" "";""dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:3"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
"orbod kevuus ičajork — mas oitemirP ;""inežolopsar"";""Primetio sam — krojači suuvek dobro"";""raspoloženi"";""… "";"""";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:5"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
";""oitemirP"";"""";""Primetio"";"" "";""sam — krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:7:0"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
"oitemirP ;""mas"";""Primetio"";""sam"";"" — "";""krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:7:1"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
"ičajork — mas oitemirP ;""kevuus"";""Primetio sam — krojači"";""suuvek"";"" "";""dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:7:3"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
"orbod kevuus ičajork — mas oitemirP ;""inežolopsar"";""Primetio sam — krojači suuvek dobro"";""raspoloženi"";""… "";"""";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:7:5"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
";""menterS"";"""";""Sretnem"";"" "";""Loginova s televizije."";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:9:0"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp (translit)",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp",1
";""oitemirP"";"""";""Primetio"";"" "";""sam — krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije."";""27f6800b3248a940cb7f8f1bfb9daf78:7:0"";""Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… Vstrečaю Loginova s televideniя. "";""rus"";"" Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…  Sretnem Loginova s televizije. "";""srp",1
